DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
219,1050.6166,1050.6166,1050.34,1050.37,350
220,1051.33,1051.5248,1050.89,1050.89,1200
221,1052.08,1052.08,1051.57,1051.72,1800
222,1052.84,1053.05,1051.18,1051.54,3003
223,1052.85,1053.32,1052.1784,1053.32,1275
224,1050.79,1051.79,1050.79,1051.74,1784
225,1050.8,1050.8,1050.8,1050.8,100
226,1049.45,1051.1,1049.45,1051.1,1800
227,1050.26,1050.75,1049.88,1050.3,1200
228,1049.1465,1049.69,1049.1465,1049.69,400
229,1050,1050.8799,1049.809,1049.809,976
230,1051.02,1051.02,1050.2,1050.2,200
231,1050.64,1050.64,1050.64,1050.64,100
232,1050.7795,1050.7795,1050.31,1050.31,600
233,1051.37,1051.67,1051.08,1051.66,600
234,1051.6647,1051.6647,1050.9,1051.37,1050
235,1053.9192,1054.49,1051.39,1051.39,3303
236,1054.2,1054.33,1053.625,1054.33,600
237,1052.65,1054.3631,1052.65,1054.3631,1600
238,1053.94,1053.95,1052.1,1053.16,4429
239,1052.5701,1053.43,1052.54,1052.78,1777
240,1053.03,1054.026,1053.03,1053.99,964
241,1052.73,1055,1052.73,1053.66,6830
242,1052.74,1053.935,1052.58,1053.935,1604
243,1052.31,1052.31,1052.31,1052.31,100
244,1051.416,1052.31,1050.8201,1052.31,3631
245,1052.16,1052.16,1051,1051,338
246,1051.24,1051.24,1051.24,1051.24,200
247,1051.38,1051.5,1051.36,1051.5,700
248,1051.29,1051.29,1050.6,1051.04,700
249,1051.2,1051.21,1050.37,1050.37,950
250,1049.9,1050.6903,1049.81,1050.6903,1722
251,1050.01,1050.01,1050.0001,1050.0001,250
252,1049.67,1049.67,1049.07,1049.07,400
253,1049.8,1049.8,1048.6601,1049.8,1857
254,1049.435,1049.51,1048.85,1049,1033
255,1049.44,1049.95,1049.44,1049.71,600
256,1049.6625,1049.91,1049.43,1049.44,1300
257,1050.305,1050.72,1050.04,1050.66,1100
258,1050.455,1050.455,1050.455,1050.455,700
259,1051.495,1052.59,1050.915,1050.95,900
260,1052.92,1052.92,1052.91,1052.91,223
261,1053.485,1053.84,1053.035,1053.035,400
262,1054.9995,1055,1053.795,1054.23,3723
263,1053.87,1055,1053.87,1054.9999,3600
264,1055,1055,1054.62,1054.62,1827
265,1056.3095,1056.605,1054.34,1054.34,1400
266,1056.98,1057,1056.5,1056.89,2500
267,1057.12,1057.17,1056.05,1056.6,3400
268,1055.6,1057.4099,1055.52,1057.3006,2802
269,1055.99,1056.19,1055.61,1056.16,860
270,1055.56,1056.1,1055.56,1056.1,200
271,1056.475,1056.475,1056.095,1056.1,400
272,1055.77,1056.79,1055.77,1056.79,400
273,1054.98,1055.905,1054.98,1055.905,500
274,1054.55,1054.55,1054.54,1054.55,1020
275,1054.105,1054.105,1053.7405,1053.79,400
276,1052.375,1054.13,1052.375,1054.13,2243
277,1052.21,1052.26,1050.92,1052.205,3775
278,1052.3641,1052.3641,1051.1,1052.04,1700
279,1051.24,1051.75,1051.01,1051.01,900
280,1051.37,1051.47,1051.37,1051.45,958
281,1050.91,1051.48,1050.91,1050.96,3972
282,1049.59,1050.79,1049.5,1050.65,1100
283,1049.03,1049.96,1049.02,1049.6029,700
284,1050,1050.1,1049.41,1049.41,861
285,1049.74,1050.29,1048.96,1049.02,2700
286,1049.09,1049.51,1048.15,1049.51,4514
287,1048.64,1049.513,1048.61,1048.62,3263
288,1047.9265,1048.605,1047.661,1048.12,2200
289,1047.88,1048.39,1047.5,1048.39,1900
290,1046.82,1048.02,1046.81,1048.02,1680
291,1047.97,1047.97,1046.9,1047,900
292,1046.9,1047.45,1046.63,1047.45,1420
293,1047.41,1047.41,1046.56,1047,824
294,1047.29,1047.3,1047.23,1047.23,400
295,1048.49,1048.49,1047.01,1047.01,1585
296,1047.505,1048,1047.505,1048,600
297,1046.54,1046.97,1046.54,1046.97,400
298,1046.065,1046.95,1045.5916,1046.95,2205
299,1046.5,1046.5,1046.5,1046.5,250
300,1047.435,1048,1046.42,1047.02,914
301,1046.72,1047.5,1046.72,1047.41,644
302,1046.5621,1046.5621,1046.02,1046.1,500
303,1047,1048,1046.96,1048,1204
304,1045.9152,1047.24,1045.8418,1047.04,2600
305,1046.15,1046.43,1045.635,1045.71,1600
306,1045.39,1045.72,1045.2,1045.53,1256
307,1046.3626,1046.48,1045.415,1045.415,2296
308,1046.46,1046.51,1046.46,1046.51,1100
309,1046.99,1046.99,1045.99,1046.3076,800
310,1046.27,1046.84,1046.02,1046.02,1000
311,1045.98,1045.98,1045.86,1045.92,700
312,1046.9,1046.95,1046.06,1046.06,781
313,1046.715,1046.995,1046.6,1046.6,349
314,1045.52,1046.635,1045.52,1046.5322,1000
315,1046.87,1046.87,1044.75,1045,3807
316,1045.935,1046.43,1045.2,1046.4,3910
317,1045.545,1045.545,1044.75,1045.42,1500
318,1045.3075,1045.94,1044.98,1045.94,788
319,1043.82,1045.18,1043.43,1044.9525,3012
320,1043.2,1043.85,1042.6296,1043.42,2200
321,1042.77,1043.8385,1042.77,1043.8385,900
322,1041.3601,1043.12,1041.3601,1043.12,3808
323,1043.54,1043.54,1042.0874,1042.61,1400
324,1042,1044,1042,1043.3653,1574
325,1043.75,1043.75,1042.4742,1042.4742,3891
326,1042.3272,1043.43,1042.3272,1042.9447,2227
327,1041.65,1042.43,1041.55,1042.29,2300
328,1039.53,1041.84,1039.48,1041.8175,6156
329,1038.345,1040.27,1038.03,1039,4566
330,1039.25,1039.81,1037.81,1038.345,2200
331,1037.27,1039.48,1037.27,1038.55,1924
332,1036.18,1037.445,1035.653,1037.445,5337
333,1036.4003,1037.19,1035.6,1037.1,4300
334,1036.26,1036.92,1035.62,1036.82,2415
335,1035.78,1037.4,1035.78,1037.39,2328
336,1038,1038,1035.44,1035.44,4740
337,1036.495,1037.8074,1035.37,1037.29,4254
338,1034.79,1036.07,1034.37,1036.07,4930
339,1035.35,1036.57,1035.01,1035.23,4627
340,1034.5,1035.37,1033.82,1034.945,6093
341,1034.6,1036.95,1034.6,1035.48,3024
342,1034.3541,1034.7065,1033.91,1034.35,2543
343,1035.38,1035.77,1034.1048,1034.4053,3634
344,1037.85,1037.85,1035.93,1036.08,2100
345,1038.92,1038.92,1037.09,1038.04,3927
346,1040.84,1042.35,1038.78,1038.9099,5216
347,1041.27,1041.28,1040.19,1040.87,2523
348,1039.94,1041.81,1039.55,1041.29,1853
349,1038.385,1039.36,1037.751,1039.17,2800
350,1038.26,1038.55,1037.76,1038.1747,1220
351,1037.208,1038.96,1036.3,1038.675,4348
352,1038.97,1039.45,1037.47,1037.4945,2500
353,1038.605,1039.22,1038.12,1039.22,1175
354,1037.34,1039.3,1037.34,1038.68,2430
355,1035.68,1037.82,1035.66,1037.81,3620
356,1036.925,1036.925,1035.66,1035.66,2138
357,1036.33,1036.945,1036.33,1036.945,500
358,1036.2247,1037.6,1035.38,1036.45,3375
359,1036.07,1036.185,1035.44,1035.9353,3233
360,1037.69,1038.46,1035.84,1036.42,2765
361,1034.96,1035.58,1034.05,1035.4299,7850
362,1034.535,1035.74,1033.96,1034.395,5472
363,1034.77,1035.42,1034.488,1034.71,2421
364,1033.87,1035.0555,1033.44,1034.2,4565
365,1033.041,1034.84,1033.041,1033.37,3165
366,1032.82,1033.63,1032.13,1033.63,4778
367,1031.2,1032.2,1030.65,1032.17,7153
368,1031.01,1032.42,1031.01,1031.59,4300
369,1031.36,1032.05,1030.63,1031.19,3792
370,1032.08,1032.66,1030.35,1031.58,9119
371,1031.43,1032.2084,1030.3301,1032.07,4061
372,1031.38,1032.81,1031.09,1031.1223,4311
373,1031.15,1032,1031.15,1031.64,7500
374,1029.96,1031.21,1029.4601,1031.21,11696
375,1030.22,1030.55,1029.01,1029.85,9101
376,1029.24,1030.59,1029,1029.85,6367
377,1028.99,1029.7,1028.46,1029.39,5764
378,1028.54,1029.22,1028.07,1029.22,4409
379,1028.35,1029.5,1028.35,1028.79,10242
380,1028,1029.11,1027.22,1028.52,6516
381,1026.49,1027.75,1026.49,1027.63,10458
382,1025.99,1027.5,1025.71,1027.01,8865
383,1025.915,1026.06,1025.3,1026.02,6917
384,1025.79,1026.36,1024.87,1025.52,8274
385,1025.71,1027.63,1025.5,1025.7,13290
386,1028.48,1028.65,1025.7,1025.75,9573
387,1027.925,1029,1027.06,1028.27,9966
388,1029.66,1029.66,1027.74,1027.74,13413
389,1027.2301,1029.375,1027.2301,1029.29,20968
390,1026.55,1027.86,1026.09,1027.2301,208600
